complex_name,dong,deal_type,price_min,price_max,area_m2,floor,total_floors,direction,building_type,listing_date
힐스테이트영통,110,매매,128000,129000,84,26,27,남동향,아파트,2026-06-06
힐스테이트영통,104,매매,135000,135000,84,25,27,남동향,아파트,2026-06-06
힐스테이트영통,110,매매,135000,135000,84,16,27,남동향,아파트,2026-06-06
힐스테이트영통,106,전세,60000,60000,62,2,28,남서향,아파트,2026-06-06
힐스테이트영통,105,매매,135000,140000,84,21,27,남동향,아파트,2026-06-06
힐스테이트영통,112,전세,74000,74000,71,18,25,남동향,아파트,2026-06-05
힐스테이트영통,105,매매,132000,132000,84,,,남동향,아파트,2026-06-06
힐스테이트영통,113,매매,125000,125000,71,,,남서향,아파트,2026-06-06
힐스테이트영통,112,매매,105000,105000,62,,,남서향,아파트,2026-06-06
힐스테이트영통,112,매매,120000,120000,71,,,남동향,아파트,2026-06-06
힐스테이트영통,109,매매,135000,135000,84,,,남동향,아파트,2026-06-06
힐스테이트영통,110,매매,135000,135000,84,,,남서향,아파트,2026-06-06
힐스테이트영통,113,매매,120000,120000,71,,,남서향,아파트,2026-06-06
힐스테이트영통,113,매매,115000,115000,62,,,남동향,아파트,2026-06-06
힐스테이트영통,101,매매,113000,113000,71,,,남동향,아파트,2026-06-06
힐스테이트영통,101,매매,106000,106000,62,6,23,남서향,아파트,2026-05-30
힐스테이트영통,115,매매,116000,116000,62,,,남동향,아파트,2026-06-05
힐스테이트영통,112,매매,125000,125000,71,,,남동향,아파트,2026-06-05
힐스테이트영통,107,전세,71000,71000,71,,,남서향,아파트,2026-06-05
힐스테이트영통,104,매매,132000,132000,84,,,남동향,아파트,2026-06-05
힐스테이트영통,108,매매,160000,160000,107,,,남동향,아파트,2026-06-05
힐스테이트영통,119,매매,145000,145000,84,,,남서향,아파트,2026-06-06
힐스테이트영통,114,매매,110000,110000,62,,,남동향,아파트,2026-06-04
힐스테이트영통,102,매매,150000,150000,84,,,남동향,아파트,2026-06-04
힐스테이트영통,115,매매,123000,123000,71,,,남서향,아파트,2026-06-05
힐스테이트영통,101,매매,118000,118000,71,,,남동향,아파트,2026-06-03
힐스테이트영통,114,매매,120000,120000,71,,,남서향,아파트,2026-06-01
힐스테이트영통,118,매매,121000,121000,62,,,남서향,아파트,2026-06-01
힐스테이트영통,117,매매,160000,160000,107,,,남서향,아파트,2026-06-01
힐스테이트영통,115,매매,113000,113000,62,,,남동향,아파트,2026-05-28
힐스테이트영통,116,매매,135000,135000,84,7,29,남동향,아파트,2026-05-20
힐스테이트영통,110,전세,70000,70000,84,,,남서향,아파트,2026-05-22
힐스테이트영통,105,전세,80000,80000,84,,,남동향,아파트,2026-05-19
힐스테이트영통,116,매매,150000,150000,84,23,29,남서향,아파트,2026-05-20
힐스테이트영통,118,매매,120000,120000,71,,,남동향,아파트,2026-05-14
그대가프리미어,101,매매,130000,130000,174,3,16,남동향,아파트,2026-06-05
그대가프리미어,110,매매,97000,97000,59,2,17,남동향,아파트,2026-06-02
그대가프리미어,110,매매,102000,102000,59,14,17,남동향,아파트,2026-06-03
그대가프리미어,104,매매,106000,106000,101,3,21,남동향,아파트,2026-06-02
그대가프리미어,108,매매,115000,115000,124,3,21,남동향,아파트,2026-06-02
그대가프리미어,101,매매,135000,135000,174,,,남서향,아파트,2026-06-05
그대가프리미어,109,매매,102000,102000,59,,,남동향,아파트,2026-06-04
그대가프리미어,101,매매,160000,160000,144,16,16,남동향,아파트,2026-05-28
그대가프리미어,103,매매,116500,116500,101,,,남동향,아파트,2026-06-01
그대가프리미어,104,매매,120000,120000,101,13,21,남서향,아파트,2026-05-19
그대가프리미어,101,매매,110000,110000,144,7,16,남동향,아파트,2026-05-18
그대가프리미어,108,매매,117000,117000,124,,,남동향,아파트,2026-05-22
그대가프리미어,105,매매,130000,130000,174,,,남동향,아파트,2026-05-13
영통아이파크캐슬1단지,101,매매,115000,115000,84,2,22,남서향,아파트,2026-06-06
영통아이파크캐슬1단지,103,매매,130000,130000,105,2,24,남향,아파트,2026-06-06
영통아이파크캐슬1단지,116,매매,120000,120000,84,2,27,남동향,아파트,2026-06-06
영통아이파크캐슬1단지,103,매매,135000,140000,105,24,24,남향,아파트,2026-06-06
영통아이파크캐슬1단지,108,매매,98000,98000,59,5,24,남서향,아파트,2026-06-01
영통아이파크캐슬1단지,103,매매,140000,150000,105,,,남향,아파트,2026-06-06
영통아이파크캐슬1단지,102,매매,135000,135000,105,,,남동향,아파트,2026-06-06
