complex_name,dong_name,매매_최저가,전세_최고가,기준층
일신건영휴먼빌,망포동,"매매 4억 2,000",-,4층 이상
영통롯데캐슬엘클래스2단지,망포동,-,"전세 6억 8,000",4층 이상
망포쌍용에듀파크,망포동,매매 4억,-,4층 이상
영통롯데캐슬엘클래스1단지,망포동,"매매 9억 2,000","전세 6억 4,000",4층 이상
망포마을벽산이빌리지,망포동,"매매 4억 3,000",-,4층 이상
망포마을현대아이파크2차,망포동,매매 7억,-,4층 이상
영통아이파크캐슬3단지,망포동,"매매 8억 3,000","전세 6억 2,000",4층 이상
영통푸르지오트레센츠,망포동,-,전세 6억변동,4층 이상
망포극동의푸른별,망포동,"매매 4억 8,000",-,4층 이상
영통아이파크캐슬2단지,망포동,"매매 9억 1,000","전세 5억 3,000",4층 이상
영통아이파크캐슬1단지,망포동,"매매 9억 8,000변동",전세 9억,4층 이상
힐스테이트영통,망포동,"매매 10억 6,000",전세 8억,4층 이상
세흥,망포동,"매매 1억 8,000","전세 1억 8,000변동",4층 이상
청와,망포동,매매 3억,"전세 1억 6,000",4층 이상
그대가센트럴파크,망포동,매매 10억변동,-,4층 이상
동수원자이2차,망포동,"매매 6억 8,000",-,4층 이상
LG동수원자이3단지,망포동,"매매 6억 4,000",전세 5억변동,4층 이상
동수원자이1차,망포동,매매 6억,"전세 4억 5,000",4층 이상
영통SK뷰,망포동,"매매 8억 6,000",-,4층 이상
센트럴하이츠,망포동,"매매 8억 2,000",-,4층 이상
늘푸른벽산,망포동,"매매 4억 9,000변동","전세 5억 3,000",4층 이상
한양수자인에듀파크,망포동,"매매 8억 9,000","전세 6억 5,000",4층 이상
e편한세상영통2차1단지,망포동,매매 6억,-,4층 이상
e편한세상영통2차2단지,망포동,매매 6억,-,4층 이상
망포역아이파크,망포동,"매매 8억 8,000",전세 8억,4층 이상
